##
## Word embedding test based on Reuters-21578 collection.
## http://www.daviddlewis.com/resources/testcollections/reuters21578/
##
## some results:
##

search for president
president ~ [match=chairman,score=321]
president ~ [match=hilton,score=108]
president ~ [match=ISO,score=105]
president ~ [match=miller,score=102]
president ~ [match=bob,score=90]
president ~ [match=IBC,score=89]
president ~ [match=formerly,score=88]
president ~ [match=philip,score=85]
president ~ [match=robert,score=82]
president ~ [match=wilson,score=81]
president ~ [match=officer,score=79]
president ~ [match=dieter,score=72]
president ~ [match=bundesbank,score=69]
president ~ [match=brian,score=69]
president ~ [match=III,score=69]
president ~ [match=west,score=68]
president ~ [match=appointed,score=67]
president ~ [match=closely,score=67]
president ~ [match=watanabe,score=66]
president ~ [match=former,score=66]

search for television
television ~ [match=radio,score=149]
television ~ [match=broadcast,score=147]
television ~ [match=licenses,score=124]
television ~ [match=cable,score=108]
television ~ [match=records,score=99]
television ~ [match=station,score=93]
television ~ [match=license,score=91]
television ~ [match=computers,score=89]
television ~ [match=feeling,score=74]
television ~ [match=broadcasting,score=71]
television ~ [match=MCA,score=71]
television ~ [match=news,score=69]
television ~ [match=communications,score=69]
television ~ [match=equatorial,score=67]
television ~ [match=network,score=67]
television ~ [match=fla,score=67]
television ~ [match=RKO,score=67]
television ~ [match=stations,score=66]
television ~ [match=angeles,score=66]
television ~ [match=tehran,score=63]

search for germany
germany ~ [match=britain,score=154]
germany ~ [match=german,score=151]
germany ~ [match=netherlands,score=126]
germany ~ [match=belgium,score=93]
germany ~ [match=denmark,score=88]
germany ~ [match=portugal,score=82]
germany ~ [match=ireland,score=78]
germany ~ [match=canada,score=76]
germany ~ [match=cost,score=68]
germany ~ [match=poehl,score=67]
germany ~ [match=accord,score=67]
germany ~ [match=half-point,score=63]
germany ~ [match=virginia,score=63]
germany ~ [match=norway,score=63]
germany ~ [match=spreads,score=60]
germany ~ [match=policies,score=60]
germany ~ [match=italy,score=60]
germany ~ [match=economy,score=60]
germany ~ [match=attending,score=57]
germany ~ [match=ethanol,score=57]

search for eight
eight ~ [match=five,score=749]
eight ~ [match=three,score=735]
eight ~ [match=four,score=708]
