##
## Word embedding test based on 50k crawled german texts.
##
## some results:
##

search for atomkraftwerk
atomkraftwerk ~ [match=AKW,score=196]
atomkraftwerk ~ [match=kernkraftwerk,score=195]
atomkraftwerk ~ [match=kernkraftwerks,score=180]
atomkraftwerk ~ [match=atomkraftwerks,score=178]
atomkraftwerk ~ [match=meiler,score=124]
atomkraftwerk ~ [match=reaktor,score=99]
atomkraftwerk ~ [match=atommeiler,score=95]
atomkraftwerk ~ [match=reaktoren,score=90]
atomkraftwerk ~ [match=atomkraftwerke,score=81]
atomkraftwerk ~ [match=kernkraftwerke,score=72]
atomkraftwerk ~ [match=atomreaktor,score=72]
atomkraftwerk ~ [match=atomreaktoren,score=71]
atomkraftwerk ~ [match=reaktorbloecken,score=66]
atomkraftwerk ~ [match=KKW,score=66]
atomkraftwerk ~ [match=meilers,score=62]
atomkraftwerk ~ [match=AKWs,score=59]
atomkraftwerk ~ [match=gundremmingen,score=58]
atomkraftwerk ~ [match=atomanlage,score=55]
atomkraftwerk ~ [match=akw,score=55]
atomkraftwerk ~ [match=biblis,score=52]

search for armani
armani ~ [match=zegna,score=146]
armani ~ [match=prada,score=131]
armani ~ [match=dior,score=123]
armani ~ [match=chanel,score=110]
armani ~ [match=ferragamo,score=105]
armani ~ [match=gucci,score=103]
armani ~ [match=versace,score=86]
armani ~ [match=cartier,score=83]
armani ~ [match=hermès,score=82]
armani ~ [match=fendi,score=78]
armani ~ [match=kering,score=74]
armani ~ [match=valentino,score=73]
armani ~ [match=givenchy,score=70]
armani ~ [match=vuitton,score=69]
armani ~ [match=dolce,score=67]
armani ~ [match=bottega,score=66]
armani ~ [match=lauren,score=65]
armani ~ [match=burberry,score=64]
armani ~ [match=montblanc,score=61]
armani ~ [match=miu,score=59]

search for violett
violett ~ [match=hellrot,score=55]
violett ~ [match=dunkelgruen,score=52]
violett ~ [match=tuerkis,score=47]
violett ~ [match=grasgruen,score=46]
violett ~ [match=blau,score=46]
violett ~ [match=hellblau,score=44]
violett ~ [match=gelb,score=43]
violett ~ [match=braut-,score=43]
violett ~ [match=leuchtendem,score=38]
violett ~ [match=dunkelblau,score=38]
violett ~ [match=orange,score=38]
violett ~ [match=ocker,score=38]
violett ~ [match=lila,score=38]
violett ~ [match=hundeliebhabern,score=37]
violett ~ [match=rostrot,score=37]
violett ~ [match=roetlich,score=37]
violett ~ [match=mietkonditionen,score=36]
violett ~ [match=purpur,score=35]
violett ~ [match=magenta,score=35]
violett ~ [match=schimmernden,score=34]

search for andreas
andreas ~ [match=michael,score=34]
andreas ~ [match=hoidn-borchers,score=29]
andreas ~ [match=thomas,score=29]
andreas ~ [match=wolfgang,score=26]
andreas ~ [match=dreas,score=26]
andreas ~ [match=peter,score=25]
andreas ~ [match=andi,score=25]
andreas ~ [match=nrw-wissenschaftsminister,score=24]
andreas ~ [match=herr,score=24]
andreas ~ [match=christian,score=23]
andreas ~ [match=stefan,score=22]
andreas ~ [match=frank,score=22]
andreas ~ [match=matthias,score=21]
andreas ~ [match=markus,score=20]
